id;x;y
0;917651.7;790243.0
1;886078.6;589230.7
2;349045.0;1022970.7
3;551877.0;1325102.2
4;893970.3;1292735.6
5;1190306.7;869297.9
6;1062606.1;1422169.1
7;457288.9;766397.5
8;673234.1;673265.0
9;714502.8;856527.6
10;506659.0;913611.5
11;731550.0;914355.9
12;1029564.6;1001909.2
13;1246817.6;917630.6
14;704154.3;630506.6
15;1352538.3;1306230.5
16;1180286.4;971606.6
17;864805.5;1200672.0
18;922958.8;1414228.2
19;906445.5;1063679.2
20;997341.8;805245.7
21;1114956.2;981202.9
22;494227.9;907008.3
23;606260.9;1508948.1
24;980700.1;748839.9
25;1016037.5;1202995.9
26;773683.6;768593.7
27;445261.2;1240890.7
28;1053350.8;1306802.7
29;1564947.3;1362296.7
30;1061917.7;1160028.9
31;782926.3;1181924.7
32;1041840.2;1378559.9
33;1296157.3;841142.0
34;963702.1;1113886.7
35;587889.7;1494177.2
36;826893.5;1079806.3
37;714361.6;1020583.8
38;1221240.4;1430386.1
39;992866.1;1108413.1
40;502554.2;1512238.6
41;910838.7;1042287.6
42;923034.2;655881.4
43;828030.0;712192.6
44;737364.7;1044428.2
45;427831.8;838986.6
46;446431.3;1397030.9
47;731570.8;1083414.7
48;702652.1;513675.2
49;895368.2;812141.1
50;948050.4;1144545.8
51;1386174.4;1023748.0
52;1385567.4;1151128.7
53;717738.6;1113307.0
54;710461.8;594872.2
55;1299458.0;849496.7
56;1066492.7;1416283.6
57;1087918.0;826386.7
58;621825.6;1193358.6
59;791945.5;1465555.2
60;1465440.8;1239672.6
61;495963.9;997116.1
62;637574.8;1165651.1
63;747222.6;574322.8
64;1311140.2;1283488.0
65;1032079.9;1076473.6
66;1268033.5;725495.6
67;854929.5;750752.5
68;537904.2;782517.7
69;736209.3;969431.6
70;858672.6;817602.2
71;879179.5;864083.5
72;523392.6;934276.6
73;762078.2;1037928.8
74;340959.5;945452.1
75;1342188.9;1134452.4
76;733779.6;1378757.1
77;726417.9;799190.7
78;1491245.5;1212924.2
79;892964.4;1200762.0
80;850464.3;1348787.9
81;756029.4;931797.6
82;1190510.2;1334349.9
83;874850.3;1312471.6
84;430566.5;1138867.8
85;1540186.7;1375364.4
86;1118023.1;1304707.4
87;819940.6;980033.6
88;558040.4;963034.5
89;928243.3;642455.0
90;710762.3;927704.8
91;1442834.3;1364742.1
92;1202993.3;1148467.4
93;376675.6;1035442.2
94;1301345.0;836592.1
95;666267.9;1303828.1
96;788327.9;740680.5
97;1114721.0;974075.5
98;340552.5;954947.0
99;641953.9;1220586.2
100;1297804.3;770031.8
101;806871.4;774145.3
102;887291.4;766033.6
103;505607.2;1321283.6
104;975234.5;1294188.8
105;676328.0;1339779.5
106;1297457.5;1028264.9
107;896591.2;1312215.0
108;758838.8;1210166.4
109;1464200.4;1494749.0
110;1406251.7;1379716.4
111;1187555.5;1480381.1
112;535878.0;1428887.6
113;791596.8;1196589.9
114;992469.0;1223443.9
115;556591.7;707132.0
116;609445.2;1334812.2
117;917833.7;1399674.0
118;715484.0;1098161.3
119;316341.4;772089.8
120;888942.3;1334906.4
121;607955.3;1338066.3
122;948660.1;1152601.2
123;539345.3;1391422.6
124;1429077.1;1248781.5
125;924604.5;609012.3
126;706718.0;1289609.9
127;449316.6;1434326.4
128;460303.2;1299757.1
129;683653.1;1076282.1
130;720218.8;939308.1
131;1535230.8;1358547.8
132;1097785.3;825207.1
133;829118.2;1277296.3
134;843366.8;941045.4
135;729655.0;631788.8
136;1131259.2;1212240.3
137;601139.4;917870.0
138;522355.1;875409.2
139;778581.9;1162558.9
140;1055265.4;1087667.3
141;1326227.4;1466689.9
142;646878.2;643799.0
143;1308012.0;1039053.5
144;1117818.5;1275028.6
145;1288767.7;1473419.9
146;733882.9;579235.8
147;979097.3;1339768.3
148;862364.5;1334022.4
149;1057416.6;1401561.4
150;1087366.8;980044.5
151;572885.6;1380236.4
152;368469.6;893138.6
153;508853.2;909004.1
154;844316.1;680411.6
155;1061312.2;908368.0
156;784441.7;671740.4
157;878996.0;1466003.7
158;900953.1;1152596.3
159;1073393.9;1314798.8
160;1363996.0;1234020.1
161;779321.4;919546.0
162;590879.6;825979.2
163;1439527.6;1464098.9
164;747485.5;597982.2
165;629877.8;1336990.4
166;731406.5;1202737.4
167;1129796.7;823473.0
168;1001893.1;755859.2
169;1568568.4;1326052.2
170;1442623.7;1479003.5
171;1052895.4;864940.5
172;998787.0;825446.9
173;522076.5;1128448.8
174;1492632.4;1297002.5
175;784249.8;632485.2
176;672237.4;1120708.8
177;1419105.3;1345278.0
178;355543.8;908766.4
179;811260.0;1344057.6
180;1389056.4;1389311.8
181;1318612.3;1259938.4
182;1160182.6;792485.5
183;644070.0;1296311.2
184;1129270.5;890681.4
185;826161.0;868156.9
186;917790.8;1027413.7
187;641220.4;1225599.7
188;1016568.6;923164.4
189;761119.5;1239687.3
190;620757.6;1057174.8
191;1138693.7;1278231.7
192;1326218.7;1240466.4
193;919506.9;566851.5
194;793158.8;697436.1
195;468550.5;883207.8
196;683178.6;1475379.6
197;596855.7;1340400.5
198;908455.3;589260.2
199;991992.0;1310608.7
200;607284.5;1421193.4
201;799849.0;737930.9
202;1222349.4;845122.2
203;756006.6;660840.6
204;769236.3;928722.8
205;743140.1;1314429.0
206;421118.4;931573.2
207;1220225.7;1413321.3
208;471221.2;1049538.3
209;1002565.0;1379690.7
210;835019.4;1297094.6
211;859233.9;584218.0
212;720483.8;1127549.1
213;743609.7;660738.2
214;485295.7;1276400.1
215;416402.9;990094.3
216;1254381.4;731707.2
217;1370611.2;1394111.2
218;787466.3;1384994.3
219;1394600.5;1442581.1
220;698385.2;671790.6
221;576994.5;1519793.4
222;626479.6;1483110.3
223;622841.9;772830.7
224;555873.2;1055910.7
225;590779.9;1271481.1
226;693657.1;1088671.1
227;370767.7;894313.7
228;951834.2;854401.6
229;441629.5;1190507.8
230;628035.7;1412204.1
231;1503419.9;1217184.5
232;718485.4;1312784.5
233;1078873.5;1314255.4
234;366042.3;901223.0
235;691118.9;1434989.6
236;1479691.9;1335419.3
237;1246589.3;1198546.3
238;1065044.1;760823.2
239;1132456.2;1311022.8
240;778378.2;1418810.5
241;844120.8;687067.9
242;675838.3;601375.1
243;769049.7;750342.4
244;363644.9;1001950.0
245;840826.2;1028658.3
246;803678.5;1255505.2
247;1152133.2;987184.9
248;961841.2;1084023.7
249;603354.6;1364532.2
250;491294.6;928746.1
251;1193610.7;1009307.5
252;920324.7;877491.0
253;961603.7;1155217.1
254;977124.0;1114556.5
255;651469.0;1433461.9
256;1150716.6;1320555.5
257;768834.4;717484.3
258;337763.0;819377.5
259;1189118.3;1081890.4
260;882190.3;1328726.0
261;788735.9;690131.6
262;739654.4;931595.6
263;837150.9;1003042.1
264;827438.4;1155763.9
265;891990.5;1103604.0
266;586283.2;654063.1
267;893967.6;1429969.2
268;1337595.3;893251.6
269;508236.4;805132.7
270;830229.0;1112192.6
271;1312249.4;1419617.7
272;1043093.6;1173316.5
273;626550.8;567557.0
274;597235.6;971168.7
275;562404.5;1331764.6
276;1280061.0;1368751.0
277;1200183.1;1371880.2
278;1473280.5;1133164.7
279;1308903.4;1422311.3
280;551695.5;862095.2
281;1404163.2;1434562.8
282;1084498.8;1137200.5
283;659759.7;1459651.5
284;1371064.6;1049161.0
285;1448973.6;1483817.6
286;1012007.7;969947.7
287;926303.7;1328520.9
288;309606.0;868909.8
289;1412446.7;1211304.5
290;547251.4;1071248.0
291;1345214.9;976154.9
292;502633.1;896884.9
293;822382.2;777497.5
294;457936.7;899883.5
295;807696.6;575761.0
296;632736.9;1005327.2
297;464742.7;883412.2
298;967486.0;622775.2
299;1315462.2;1244177.5
300;658249.0;1420532.8
301;1454451.0;1053254.9
302;1318274.4;876004.7
303;743537.9;1443598.6
304;932216.4;1337164.1
305;365241.9;959679.3
306;1181184.2;1200084.0
307;566324.8;766490.1
308;882402.1;1393331.5
309;1289313.1;1042270.4
310;986081.6;1217029.7
311;485963.9;1425704.2
312;1338317.9;1381876.1
313;1485956.8;1440739.7
314;420400.3;1234397.3
315;981834.6;981160.1
316;821286.4;978728.1
317;941107.7;1286689.3
318;546147.3;1058830.0
319;991841.5;1311905.4
320;961891.9;1146305.8
321;958095.6;1079234.5
322;1048616.6;1300099.2
323;871973.3;780573.6
324;740164.5;1451728.2
325;575123.7;1038920.7
326;1497528.4;1508540.6
327;645905.6;1354174.1
328;418106.9;1060094.7
329;1343429.1;1318964.5
330;347844.2;904980.0
331;1334408.1;1164725.3
332;1498974.5;1238247.6
333;465340.9;872713.4
334;1514147.7;1533990.9
335;611485.7;1352000.5
336;1054018.0;1075504.7
337;518858.9;1146630.1
338;1254246.4;1316302.8
339;836303.7;953717.9
340;1160520.9;1186837.3
341;1149711.7;1429358.1
342;1126199.2;1412301.7
343;1488686.9;1248321.0
344;1362862.8;938831.1
345;502792.2;957580.2
346;464784.0;738022.7
347;849890.4;1345124.1
348;592996.0;658605.9
349;695745.5;1410706.4
350;1041338.7;919382.2
351;1195983.6;1111540.1
352;1367598.6;1352024.8
353;342279.9;872331.4
354;951507.8;1295625.9
355;1542134.8;1305746.0
356;644219.4;1383616.3
357;876444.9;804844.7
358;1498838.5;1159077.7
359;591629.7;1114671.6
360;680827.4;736539.5
361;436055.4;830994.7
362;873058.3;858582.1
363;1315408.5;1332294.3
364;839985.8;1478399.4
365;771644.5;1117335.3
366;798764.8;815750.3
367;826246.3;898616.2
368;561327.0;892246.8
369;860356.9;567152.3
370;365739.9;811875.9
371;745282.6;682169.9
372;911763.9;1399846.7
373;1173937.9;1480104.2
374;921040.7;553878.9
375;941859.6;1256629.7
376;1049793.0;997381.0
377;646297.1;1502236.9
378;1091941.0;891974.7
379;1097941.2;1034852.0
380;1172363.7;1444886.6
381;1057673.0;1081019.4
382;664237.8;1222257.1
383;649352.9;814718.7
384;669936.7;748249.3
385;906441.8;1485963.6
386;1130031.6;1176450.8
387;744301.6;578524.5
388;1480765.3;1324157.8
389;778641.0;610491.8
390;1275138.1;1028113.0
391;1403916.3;1309917.5
392;599133.9;1295265.6
393;550589.5;1080807.6
394;821309.1;944609.3
395;923660.4;1482639.0
396;1481943.1;1466731.3
397;1020585.0;866943.8
398;1286824.4;1271481.5
399;1284657.1;970298.2
400;769686.2;648702.5
401;1015665.2;1203506.5
402;984240.5;1442651.1
403;958476.5;549641.4
404;1087652.0;1261050.9
405;1068058.1;966734.8
406;695542.0;580810.6
407;1268605.4;973591.3
408;430683.0;1255456.6
409;646823.5;931171.2
410;624374.1;1151642.5
411;1211445.6;783548.1
412;1113625.8;1102760.7
413;494646.1;773230.9
414;409571.6;800681.6
415;777026.7;600020.0
416;1264991.9;918824.2
417;386601.5;837158.6
418;1539903.9;1494960.4
419;842777.6;1048595.2
420;1192213.4;873893.9
421;1192192.0;1065428.1
422;1054344.7;865609.1
423;488078.2;1309559.3
424;960172.7;665774.2
425;813964.8;957906.4
426;1469334.0;1352046.5
427;1110603.8;1194321.1
428;953128.3;1372645.5
429;794975.9;1074682.0
430;1029404.1;917398.5
431;773854.4;500166.7
432;1137824.2;1016626.9
433;934921.2;760107.5
434;1191984.2;938256.4
435;846311.2;1278790.4
436;908204.3;907941.3
437;523981.4;1281981.6
438;428039.6;858079.4
439;1296418.7;875511.9
440;495433.3;1050397.2
441;752067.6;1363208.1
442;600785.9;911697.3
443;1131853.6;841829.4
444;1253237.3;831173.6
445;380652.6;876540.7
446;1597600.1;1320711.7
447;577685.0;985824.9
448;431404.7;1075730.0
449;886197.2;1272272.4
450;730703.8;1163789.5
451;702086.1;709789.3
452;1237812.1;1368949.4
453;842463.7;1471092.7
454;702019.0;931773.0
455;643796.2;901044.3
456;880944.9;1450893.0
457;667653.2;944910.3
458;712961.9;821973.6
459;797392.5;1357334.6
460;1259759.7;872350.6
461;1354482.2;1298159.3
462;1416618.2;1026402.4
463;379382.0;1052438.9
464;938552.1;1005883.2
465;810373.0;1455172.5
466;815897.3;1264945.5
467;447850.1;1353395.9
468;1157403.9;1099402.4
469;562383.8;1163733.1
470;1432743.2;1014881.3
471;747355.5;1205188.7
472;776523.0;1158424.5
473;1211121.2;1385100.4
474;1160074.1;1023936.5
475;887949.7;1019634.4
476;914347.5;572444.0
477;391143.9;1089806.0
478;933441.6;1472794.5
479;1166334.2;1198537.8
480;351231.5;849972.7
481;875167.4;1049521.0
482;1027395.0;768223.0
483;575691.0;916712.0
484;479329.6;1000835.8
485;832547.1;1113981.3
486;978444.9;841866.3
487;708703.2;840242.2
488;720942.3;1251545.3
489;707083.6;929695.2
490;310744.0;842767.4
491;1024258.6;1000506.7
492;905701.1;629243.2
493;1353071.8;1024104.8
494;786396.1;855782.7
495;970053.2;1086997.4
496;1020391.9;936230.3
497;995707.5;796694.0
498;707305.5;1225120.3
499;709517.6;744413.9
500;399152.8;736049.0
501;697014.1;1380425.7
502;782903.3;551380.1
503;1608026.3;1333225.4
504;788937.0;1013508.5
505;628211.7;1303619.5
506;1467651.0;1134993.8
507;672310.9;1360770.8
508;1123850.7;801211.0
509;1189035.0;1049399.6
510;955272.4;1366353.7
511;613328.4;874326.7
512;1313877.3;1045742.3
513;1517938.3;1534363.6
514;591695.8;1443682.5
515;1267217.8;1272748.4
516;1016611.4;1103052.8
517;570569.6;1001275.6
518;644150.3;614102.9
519;1502515.8;1267425.9
520;599560.4;1038552.9
521;815360.4;1212621.6
522;801551.7;663250.2
523;1507405.7;1534257.8
524;751036.9;823497.8
525;1515405.0;1527657.8
